NumberOfDigits,TotalOperations
1,58,4,6
2,167,55,50
3,346,284,155
4,604,1925,2037
5,950,78305,54241
6,1393,226979,173797
7,1942,9110046,7075233
8,2606,61334342,22500912
9,3394,385258358,614994115
10,4315,850674915,1274328431
NumberOfDigits,TotalOperations
1,58,4,6
2,167,55,50
3,346,284,155
4,604,1925,2037
5,950,78305,54241
6,1393,226979,173797
7,1942,9110046,7075233
8,2606,61334342,22500912
9,3394,385258358,614994115
10,4315,850674915,1274328431
NumberOfDigits,TotalOperations
1,58,4,6
2,167,55,50
3,346,284,155
4,604,1925,2037
5,950,78305,54241
6,1393,226979,173797
7,1942,9110046,7075233
8,2606,61334342,22500912
9,3394,385258358,614994115
10,4315,850674915,1274328431
NumberOfDigits,TotalOperations
